_idx mlt_region clump_id           area_ellipse             area_exact                  flux            major_sigma            minor_sigma      position_angle                 radius              v_cen              v_rms             x_cen               y_cen       area_ellipse_uerr       area_ellipse_lerr        area_exact_uerr        area_exact_lerr             flux_uerr             flux_lerr       major_sigma_uerr        major_sigma_lerr        minor_sigma_uerr        minor_sigma_lerr    position_angle_uerr position_angle_lerr             radius_uerr             radius_lerr         v_cen_uerr         v_cen_lerr             v_rms_uerr            v_rms_lerr              x_cen_uerr              x_cen_lerr             y_cen_uerr              y_cen_lerr       radius_corrected  radius_corrected_lerr  radius_corrected_uerr radius_not_corrected measured_line_width         line_width      line_width_unc
  15          1        E  2.538931310527465e-09  6.597222222221694e-09  0.003955906777337446 4.2944611150672415e-05 1.3575140747777284e-05  161.30901847556257 2.4144960980066706e-05 225611244312.21793  8.053977684665865 73.52877416898448 -10.221646434016462 -4.1359030627651384e-25  1.2116284267488585e-09                    0.0  2.708333333333117e-09                   0.0 0.0015058805525227461 -6.776263578034403e-21  1.6076585062732138e-05  1.6940658945086007e-21  2.2319211193815763e-06 -2.842170943040401e-14  11.072301156099172                     0.0    6.68730017178623e-06                0.0 1378657.0097961426 1.7763568394002505e-15    1.0279089354897568                     0.0 -5.6669113632779045e-06                    0.0  -4.282427783053322e-06  3.371923089601828e-05 1.2783347249815687e-05                    0.0                  0.0  29.581295184161483  29.29249319731374  1.9442513478037498
  16          1        G 1.8476052792524652e-09  6.458333333332816e-09  0.004850178798919267 2.4537188480518193e-05 1.7289660276749695e-05   144.5457162280794 2.0597078748568585e-05   225611461977.127  6.534221966339327 73.52861654450498 -10.221714481732903  4.1359030627651384e-25 -4.1359030627651384e-25                    0.0                    0.0                   0.0                   0.0                    0.0                     0.0  3.3881317890172014e-21 -3.3881317890172014e-21                    0.0                 0.0                     0.0                     0.0                0.0                0.0                    0.0                   0.0                     0.0                     0.0                    0.0                     0.0 3.3057175103214465e-05                    0.0                    0.0                  0.0   22.97928020105628  22.60629229884532                 0.0
  17          3        X 2.8131142804964528e-09 6.9444444444438884e-09  0.003354346649219904  4.668540393830744e-05 1.3835928814504767e-05  120.50044655727548  2.541526953559262e-05 225612947158.99786  4.597745907082806 73.52652428746673  -10.22340050311165  1.2838912725868707e-09  2.8131142804964528e-09 3.6111111111108214e-09 6.9444444444438884e-09 0.0022675882637403313  0.003354346649219904 1.0370402612271928e-05   4.668540393830744e-05  2.6521011463641718e-06  1.3835928814504767e-05    -3.2738214791061466  120.50044655727548   5.256180509155754e-06   2.541526953559262e-05 -79561.08563232422 225612947158.99786     1.0405978465832089     4.597745907082806 -2.5394210751983337e-06       73.52652428746673 2.6431792790049258e-06      -10.22340050311165  3.532011888789481e-05 3.1292155722020895e-05  1.627192097545086e-05                  0.0   45.41276715930747  45.22517610808886    23.0239045202424
  18          2        H 2.3262206068222937e-09  4.722222222221844e-09  0.002320134246704578  3.640220354775788e-05 1.4673215273672794e-05  156.08367586957883  2.311141209645804e-05 225610750933.41098 5.1390591731573485 73.52730527217223  -10.22232760594817 -4.1359030627651384e-25  2.3262206068222937e-09                    0.0  4.722222222221844e-09                   0.0  0.002320134246704578                    0.0   3.640220354775788e-05 -1.6940658945086007e-21  1.4673215273672794e-05                    0.0  156.08367586957883 -3.3881317890172014e-21   2.311141209645804e-05                0.0 225610750933.41098 -8.881784197001252e-16    5.1390591731573485                     0.0       73.52730527217223                    0.0      -10.22232760594817 2.3241245569556595e-05  3.233755294206204e-05                    0.0                  0.0  35.469452872622504 35.228954285152504  17.734726436311252
  19          1        H 2.1745257641276714e-09  5.208333333332916e-09  0.003299376229130155  2.819718033167047e-05 1.7707650440758212e-05  172.48491455571835 2.2345151884206188e-05  225604914152.6188  4.736471309216605 73.52850883092546 -10.221776973224953                     0.0  1.8163051197479768e-10                    0.0  5.555555555555103e-10                   0.0  0.000514823275143557                    0.0   8.981600704988214e-07                     0.0   9.451239962768915e-07                    0.0 -2.1918479053010174                     0.0   9.535519198201416e-07                0.0     -246569.203125                    0.0   0.15620327390727962                     0.0   3.369857310531188e-06                    0.0   5.981243429431515e-07  2.636075621212099e-05  3.354206234347983e-06                    0.0                  0.0  24.203003804060245 23.849161957635555  1.4807836722107428
  20          2        H 1.9755308626350494e-09   5.62499999999955e-09  0.002959158173489241 3.9177905273038804e-05  1.157829661823678e-05  133.94031156850744  2.129820199294828e-05 225592080030.24762  8.168140749648197 73.52730132069316 -10.222356929782007  -2.895132143935597e-24  1.9755308626350494e-09                    0.0   5.62499999999955e-09                   0.0  0.002959158173489241                    0.0  3.9177905273038804e-05 -1.6940658945086007e-20   1.157829661823678e-05                    0.0  133.94031156850744 -1.3552527156068805e-20   2.129820199294828e-05                0.0 225592080030.24762                    0.0     8.168140749648197                     0.0       73.52730132069316                    0.0     -10.222356929782007 2.8766622800010974e-05 3.1121016920050073e-05                    0.0                  0.0   33.76712405571326 33.514411824409294   16.88356202785663
  21          4        D 1.1298890787605612e-08  4.277777777777435e-08    0.0596568129529934   8.67186360426316e-05  2.991750944428494e-05  126.36418913446421  5.093530811530386e-05 225565836884.03574 13.219738364303206 73.52673923147412 -10.223396324616942   3.543003413100592e-09  2.3059929175464384e-09 1.5138888888887676e-08  8.611111111110423e-09  0.018499317342229045  0.013981381046311733 1.2518062723492108e-05  7.0477309800798265e-06   4.423976839347124e-06     3.9994802427428e-06    -0.1969477069297625   1.158270000197433   7.442219491727976e-06   5.493996031204566e-06 -955538.7149963379   455767.903717041     1.1999207415398647    0.4758674325518566   5.118139299042923e-06 -3.4902806049785795e-06  8.359356277409802e-06   7.974729516746493e-07  0.0001124882885156196 1.2183498539552102e-05 2.1419376464696435e-05                  0.0  19.857333539169577 19.424490423895428  0.1372722808962834
  22          1        I 2.7833839361088677e-09  8.194444444443789e-09  0.005063997192536769  4.228523742662312e-05 1.5114243244336853e-05  -157.2495952470568 2.5280612415653984e-05  225555940372.2147  6.627317860166805 73.52887711771406 -10.222103865774292  1.1716910728752812e-09  2.7833839361088677e-09  4.861111111110722e-09  8.194444444443789e-09  0.003937316779165646  0.005063997192536769  6.794913421820314e-06   4.228523742662312e-05   3.389129596689621e-06  1.5114243244336853e-05    -0.6466132142033132  -157.2495952470568   4.854887086470925e-06  2.5280612415653984e-05 2038979.8849487305  225555940372.2147      2.267879950555491     6.627317860166805 -5.9175620634732695e-06       73.52887711771406  4.094004097510151e-06     -10.222103865774292  4.056350768837343e-05 3.2151715015488255e-05 1.9073051280374385e-05                  0.0  13.463116861092557 12.816108947633479   6.773161097694509
  23          1        C 2.0350457321468697e-09  6.527777777777255e-09  0.005225496772248551 3.0930214718509706e-05 1.5107524343406979e-05   177.9182648298983 2.1616636459141606e-05 225558550861.02872 10.080120946995596 73.52912873157517 -10.221785292486942  1.0351729542694517e-09   9.037975469570114e-10  2.361111111110922e-09 2.9166666666664335e-09 0.0014990265271924682 0.0027515076643227845  5.910420585122681e-06   8.908176408776594e-06  4.0281717101194315e-06   3.312402104985293e-06    -340.38963920884487  12.773611917646605   4.934657286910091e-06   5.499793288020677e-06 -794790.1860046387 -1083814.968170166    -0.4032323116437979    0.5299217329534134   8.568476559389637e-06  1.0022747417792743e-05 -5.765379659905534e-06   6.726963423631105e-06  3.338984395009638e-05 1.3902488374761762e-05 1.1254395350997614e-05                  0.0  31.098042750649626  30.82345528754698 0.07028472124461338
  24          1        B 1.6147680592543908e-09  5.208333333332916e-09   0.00397135636837128  2.961803019160595e-05 1.2518608079430351e-05   148.9160460526993 1.9255557952275762e-05 225560074212.97287  6.805903406492176 73.52925788855343 -10.221737490811275   6.203854594147708e-25   5.586599726633593e-10                    0.0 1.9444444444442883e-09                   0.0  0.001459140557478676                    0.0  5.3136575883459125e-06  3.3881317890172014e-21   2.541009720144938e-06                    0.0 -11.843219192747853  3.3881317890172014e-21   3.683169946264972e-06                0.0   1430.06103515625                    0.0    0.6179730514951842                     0.0    3.80559436052863e-06                    0.0  4.4063576627451084e-06  2.636075621212099e-05 1.1739721820217954e-05                    0.0                  0.0  25.246011365445852 24.906991444299276  0.8285048952901448
  26          1        A 1.6777687679182308e-09  5.138888888888478e-09  0.003040281118119073  3.323457931312652e-05 1.1591615960843354e-05  111.94594530702389   1.96275948607554e-05 225547247064.40503 6.9015355909382174   73.529333534077 -10.221691330280592  2.0679515313825692e-25  1.6777687679182308e-09                    0.0  5.138888888888478e-09                   0.0  0.003040281118119073                    0.0   3.323457931312652e-05  1.6940658945086007e-21  1.1591615960843354e-05                    0.0  111.94594530702389                     0.0    1.96275948607554e-05                0.0 225547247064.40503                    0.0    6.9015355909382174                     0.0         73.529333534077                    0.0     -10.221691330280592   2.59380919665975e-05 3.1531986613350974e-05                    0.0                  0.0   25.11140929556205 24.770547223495416  12.555704647781026
