#REFERENCE 0 73.5287530 -10.2236050
22 73.5293524 -10.2019480 0.0000 0.0000 50.00 0.00
22 73.529352 -10.201948 0.0000 0.0000 50.00 0.00
22 73.5293524 -10.2019480 0.0000 0.0000 50.00 0.00
22 73.5293524 -10.2019480 1.1730 1.1730 50.00 0.29
23 73.4979012 -10.2164760 0.0000 0.0000 50.00 0.00
23 73.497901 -10.216476 0.0000 0.0000 50.00 0.00
23 73.4979012 -10.2164760 0.0000 0.0000 50.00 0.00
23 73.4979012 -10.2164760 1.1595 1.1595 50.00 0.28
24 73.5453271 -10.2411909 0.0000 0.0000 42.00 0.00
24 73.545327 -10.241191 0.0000 0.0000 42.00 0.00
24 73.5453271 -10.2411909 0.0000 0.0000 42.00 0.00
24 73.5453271 -10.2411909 1.3320 1.0327 42.00 0.27
25 73.5249837 -10.2166485 0.0000 0.0000 63.50 0.00
25 73.524984 -10.216648 0.0000 0.0000 63.50 0.00
25 73.5249837 -10.2166485 0.0000 0.0000 63.50 0.00
25 73.5249837 -10.2166485 1.2712 1.0321 63.50 0.25
26 73.5011757 -10.2346430 0.0000 0.0000 50.00 0.00
26 73.501176 -10.234643 0.0000 0.0000 50.00 0.00
26 73.5011757 -10.2346430 0.0000 0.0000 50.00 0.00
26 73.5011757 -10.2346430 1.1305 1.1305 50.00 0.25
27 73.5066247 -10.2352950 0.0000 0.0000 50.00 0.00
27 73.506625 -10.235295 0.0000 0.0000 50.00 0.00
27 73.5066247 -10.2352950 0.0000 0.0000 50.00 0.00
27 73.5066247 -10.2352950 1.1176 1.1176 50.00 0.24
28 73.5368022 -10.2427698 0.0000 0.0000 66.80 0.00
28 73.536802 -10.242770 0.0000 0.0000 66.80 0.00
28 73.5368022 -10.2427698 0.0000 0.0000 66.80 0.00
28 73.5368022 -10.2427698 1.1720 1.0567 66.80 0.23
29 73.5351365 -10.2115200 0.0000 0.0000 50.00 0.00
29 73.535136 -10.211520 0.0000 0.0000 50.00 0.00
29 73.5351365 -10.2115200 0.0000 0.0000 50.00 0.00
29 73.5351365 -10.2115200 1.0648 1.0648 50.00 0.20
30 73.5488439 -10.2431143 0.0000 0.0000 -38.40 0.00
30 73.548844 -10.243114 0.0000 0.0000 -38.40 0.00
30 73.5488439 -10.2431143 0.0000 0.0000 -38.40 0.00
30 73.5488439 -10.2431143 1.3490 0.8984 -38.40 0.19
31 73.5250802 -10.2212341 0.0000 0.0000 -31.10 0.00
31 73.525080 -10.221234 0.0000 0.0000 -31.10 0.00
31 73.5250802 -10.2212341 0.0000 0.0000 -31.10 0.00
31 73.5250802 -10.2212341 1.1458 0.9869 -31.10 0.19
32 73.5572116 -10.2082190 0.0000 0.0000 50.00 0.00
32 73.557212 -10.208219 0.0000 0.0000 50.00 0.00
32 73.5572116 -10.2082190 0.0000 0.0000 50.00 0.00
32 73.5572116 -10.2082190 1.0478 1.0478 50.00 0.19
33 73.5241987 -10.1948210 0.0000 0.0000 50.00 0.00
33 73.524199 -10.194821 0.0000 0.0000 50.00 0.00
33 73.5241987 -10.1948210 0.0000 0.0000 50.00 0.00
33 73.5241987 -10.1948210 1.0311 1.0311 50.00 0.17
