_idx mlt_region clump_id           area_ellipse             area_exact                  flux            major_sigma            minor_sigma      position_angle                 radius              v_cen              v_rms             x_cen               y_cen      area_ellipse_uerr       area_ellipse_lerr        area_exact_uerr        area_exact_lerr             flux_uerr              flux_lerr        major_sigma_uerr        major_sigma_lerr        minor_sigma_uerr        minor_sigma_lerr   position_angle_uerr   position_angle_lerr            radius_uerr             radius_lerr          v_cen_uerr          v_cen_lerr             v_rms_uerr            v_rms_lerr              x_cen_uerr             x_cen_lerr              y_cen_uerr              y_cen_lerr         corrected_area       radius_corrected  radius_corrected_lerr  radius_corrected_uerr radius_not_corrected measured_line_width         line_width      line_width_unc
  15          1        E  2.538931310527465e-09  6.597222222221694e-09  0.003955906777337446 4.2944611150672415e-05 1.3575140747777284e-05  161.30901847556257 2.4144960980066706e-05 225611244312.21793  8.053977684665865 73.52877416898448 -10.221646434016462 4.1359030627651384e-25 -4.1359030627651384e-25                    0.0                    0.0                   0.0                    0.0                     0.0                     0.0  1.6940658945086007e-21 -1.6940658945086007e-21                   0.0                   0.0 3.3881317890172014e-21 -3.3881317890172014e-21                 0.0                 0.0                    0.0                   0.0                     0.0                    0.0                     0.0                     0.0  3.571948536849726e-09  3.371923089601828e-05                    0.0                    0.0                  0.0  29.581295184161483  29.29249319731374                 0.0
  16          1        G 1.8476052792524652e-09  6.458333333332816e-09  0.004850178798919267 2.4537188480518193e-05 1.7289660276749695e-05   144.5457162280794 2.0597078748568585e-05   225611461977.127  6.534221966339327 73.52861654450498 -10.221714481732903                    0.0  2.0679515313825692e-25                    0.0                    0.0                   0.0                    0.0 -3.3881317890172014e-21   6.776263578034403e-21  3.3881317890172014e-21 -3.3881317890172014e-21 2.842170943040401e-14                   0.0                    0.0                     0.0                 0.0                 0.0                    0.0                   0.0                     0.0                    0.0                     0.0                     0.0  3.433059647960848e-09 3.3057175103214465e-05                    0.0                    0.0                  0.0   22.97928020105628  22.60629229884532                 0.0
  17          3        X 2.8131142804964528e-09 6.9444444444438884e-09  0.003354346649219904  4.668540393830744e-05 1.3835928814504767e-05  120.50044655727548  2.541526953559262e-05 225612947158.99786  4.597745907082806 73.52652428746673  -10.22340050311165  2.631096958639917e-10 -5.2359607433578816e-11 1.2499999999999004e-09 1.3888888888887775e-09 0.0007653145658313696  0.0006717582772964702    7.59439662761951e-07  -1.365674937768853e-06  1.0518873604505003e-06   1.430307092692782e-07   -0.5908971491696349   0.31097318233034343 1.1619784404906783e-06  -2.354327334827075e-07  -239354.2515258789  -955052.1130981445     0.1492149124494162    0.9128259861941497  -9.597956420748233e-07 -4.582555206411598e-06   -5.26549776225238e-07 -3.1729223781695737e-06  3.919170759071921e-09  3.532011888789481e-05  6.258431144404178e-06  5.632588029963763e-06                  0.0   45.41276715930747  45.22517610808886  0.5580342934640754
  18          2        H 2.3262206068222937e-09  4.722222222221844e-09  0.002320134246704578  3.640220354775788e-05 1.4673215273672794e-05  156.08367586957883  2.311141209645804e-05 225610750933.41098 5.1390591731573485 73.52730527217223  -10.22232760594817 4.1359030627651384e-25                     0.0                    0.0                    0.0                   0.0                    0.0                     0.0                     0.0  3.3881317890172014e-21                     0.0                   0.0 2.842170943040401e-14 3.3881317890172014e-21                     0.0                 0.0                 0.0 -8.881784197001252e-16 8.881784197001252e-16                     0.0                    0.0                     0.0                     0.0 1.6969485368498755e-09 2.3241245569556595e-05                    0.0                    0.0                  0.0  35.469452872622504 35.228954285152504                 0.0
  19          1        H 2.1745257641276714e-09  5.208333333332916e-09  0.003299376229130155  2.819718033167047e-05 1.7707650440758212e-05  172.48491455571835 2.2345151884206188e-05  225604914152.6188  4.736471309216605 73.52850883092546 -10.221776973224953                    0.0  4.1359030627651384e-25                    0.0                    0.0                   0.0                    0.0                     0.0                     0.0                     0.0  3.3881317890172014e-21                   0.0                   0.0                    0.0  3.3881317890172014e-21                 0.0                 0.0                    0.0                   0.0                     0.0                    0.0                     0.0                     0.0 2.1830596479609477e-09  2.636075621212099e-05                    0.0                    0.0                  0.0  24.203003804060245 23.849161957635555                 0.0
  20          2        H 1.9755308626350494e-09   5.62499999999955e-09  0.002959158173489241 3.9177905273038804e-05  1.157829661823678e-05  133.94031156850744  2.129820199294828e-05 225592080030.24762  8.168140749648197 73.52730132069316 -10.222356929782007                    0.0   8.271806125530277e-25                    0.0                    0.0                   0.0                    0.0                     0.0                     0.0                     0.0   5.082197683525802e-21                   0.0                   0.0                    0.0  3.3881317890172014e-21                 0.0                 0.0                    0.0                   0.0                     0.0                    0.0                     0.0                     0.0 2.5997263146275817e-09 2.8766622800010974e-05                    0.0                    0.0                  0.0   33.76712405571326 33.514411824409294                 0.0
  21          4        D 1.1298890787605612e-08  4.277777777777435e-08    0.0596568129529934   8.67186360426316e-05  2.991750944428494e-05  126.36418913446421  5.093530811530386e-05 225565836884.03574 13.219738364303206 73.52673923147412 -10.223396324616942 1.4562397929751822e-09  4.5579679731355625e-10  6.388888888888381e-09 1.9444444444442854e-09  0.007155871367974541   0.002718684268670779   7.140342662128018e-06  1.0877261225715739e-06  1.2865537771162257e-06   8.421744086915428e-07  -0.44254691320425366   0.10663407549438375 3.1829097544621844e-06  1.0379394940181894e-06 -279006.48666381836   31434.04071044922    0.44206220926298023  0.008407771202772807  1.8796465610648738e-06 -7.390151353092733e-07  3.4386118556994916e-06   1.598926324675176e-08  3.975250409240238e-08  0.0001124882885156196  2.751112573447244e-06  9.039369884183823e-06                  0.0  19.857333539169577 19.424490423895428 0.07737781772307528
  22          1        I 2.7833839361088677e-09  8.194444444443789e-09  0.005063997192536769  4.228523742662312e-05 1.5114243244336853e-05  -157.2495952470568 2.5280612415653984e-05  225555940372.2147  6.627317860166805 73.52887711771406 -10.222103865774292 2.5485993323321367e-10   1.922716586835695e-10 1.3194444444443377e-09  7.638888888888282e-10 0.0009996933866535723  0.0005679615170512157  1.0271858569510202e-06  3.0938250844158075e-07   9.926660094605111e-07   9.403634150609087e-07   -1.6402726781527122    -2.989517896124255 1.1320601373193105e-06   8.887956866477842e-07   367373.3946838379  139873.16415405273    0.28439907080736937  -0.05071906209957078  -1.241810849705871e-07 -8.307360985781997e-07  -7.569430575671277e-07  -1.684825203795981e-07  5.169170759071821e-09  4.056350768837343e-05 2.9971937726302625e-06  5.176971061815901e-06                  0.0  13.463116861092557 12.816108947633479 0.25179977230300654
  23          1        C 2.0350457321468697e-09  6.527777777777255e-09  0.005225496772248551 3.0930214718509706e-05 1.5107524343406979e-05   177.9182648298983 2.1616636459141606e-05 225558550861.02872 10.080120946995596 73.52912873157517 -10.221785292486942  1.035172954269453e-09  3.8920577246038434e-11  2.361111111110922e-09   3.47222222222195e-10 0.0014990265271924682  0.0003230976483404105  5.9104205851226874e-06  1.4190868189795309e-07   4.028171710119438e-06   2.206323624267889e-07   -340.38963920884487    0.3118945788792473  4.934657286910098e-06  2.0770873624059385e-07  -794790.1860046387  206283.49990844727   -0.40323231164379614    0.0088913749877495   8.568476559389637e-06  -8.22170491687757e-07  -5.765379659905534e-06  3.0793071204016087e-07  3.502504092405287e-09  3.338984395009638e-05 1.6550581398525932e-06 1.1254395350997614e-05                  0.0  31.098042750649626  30.82345528754698  0.7599631327990544
  24          1        B 1.6147680592543908e-09  5.208333333332916e-09   0.00397135636837128  2.961803019160595e-05 1.2518608079430351e-05   148.9160460526993 1.9255557952275762e-05 225560074212.97287  6.805903406492176 73.52925788855343 -10.221737490811275 -8.271806125530277e-25 -2.0679515313825692e-25                    0.0                    0.0                   0.0                    0.0  -6.776263578034403e-21                     0.0 -3.3881317890172014e-21 -1.6940658945086007e-21                   0.0                   0.0 -6.776263578034403e-21                     0.0                 0.0                 0.0                    0.0                   0.0                     0.0                    0.0                     0.0                     0.0 2.1830596479609477e-09  2.636075621212099e-05                    0.0                    0.0                  0.0  25.246011365445852 24.906991444299276                 0.0
  26          1        A 1.6777687679182308e-09  5.138888888888478e-09  0.003040281118119073  3.323457931312652e-05 1.1591615960843354e-05  111.94594530702389   1.96275948607554e-05 225547247064.40503 6.9015355909382174   73.529333534077 -10.221691330280592 2.0679515313825692e-25 -2.0679515313825692e-25                    0.0                    0.0                   0.0                    0.0                     0.0                     0.0  1.6940658945086007e-21 -1.6940658945086007e-21                   0.0                   0.0                    0.0                     0.0                 0.0                 0.0                    0.0                   0.0                     0.0                    0.0                     0.0                     0.0 2.1136152035165095e-09   2.59380919665975e-05                    0.0                    0.0                  0.0   25.11140929556205 24.770547223495416                 0.0
